#,autor_docente,autores,producao,ano,tipo_producao,citescore,quartil_citescore,percentile,quartil_percentile,q_p,qualis_estrato,qualis,programas,prog._qtd,Cluster
2,1,[60839],4318,2018,25,5.80,1.00,97,1.00,Q4,1.00,A1,[23001011020P6],1,cluster1
3,1,[11643],4539,2017,25,2.86,1.00,92,1.00,Q4,1.00,A1,[23001011031P8-23001011043P6-23001011072P6],3,cluster1
9,1,[862],6058,2001,25,1.55,0.75,69,0.75,Q3,0.00,C/NI/NP,[23001011005P7],1,cluster1
10,2,[862-58801],6065,2002,25,1.55,0.75,69,0.75,Q3,0.00,C/NI/NP,[23001011005P7],1,cluster1
18,1,[89496],6111,2010,25,1.34,0.75,60,0.75,Q3,0.70,A4,[23001011005P7],1,cluster1
19,1,[4985],6353,2017,25,1.93,0.75,69,0.75,Q3,0.80,A3,[23001011009P2],1,cluster1
20,1,[78105],6467,2019,25,2.95,1.00,66,0.75,Q3,0.50,B1,[23001011003P4-23001011054P8-23001011170P8],3,cluster1
21,1,[65308],7267,2013,25,2.33,1.00,97,1.00,Q4,1.00,A1,[23001011070P3],1,cluster1
27,3,[14449-37233-38873],19958,2015,25,0.82,0.50,50,0.75,Q3,0.00,C/NI/NP,[23001011025P8-23001011029P3-23001011031P8-23001011072P6],4,cluster1
29,2,[46564-70662],24073,2011,25,4.32,1.00,92,1.00,Q4,0.90,A2,[22003010017P5-23001011031P8-23001011040P7-23001011075P5],4,cluster1
40,1,[89249],31306,2017,25,0.57,0.50,56,0.75,Q3,0.90,A2,[23001011029P3],1,cluster1
41,1,[22948],35148,2013,25,3.45,1.00,75,0.75,Q3,0.90,A2,[23001011170P8],1,cluster1
44,1,[83109],37667,2013,25,2.16,1.00,79,1.00,Q4,0.90,A2,[23001011043P6],1,cluster1
45,2,[11643-28309],38217,2012,25,2.86,1.00,92,1.00,Q4,1.00,A1,[23001011031P8-23001011043P6-23001011072P6],3,cluster1
46,1,[11349],38473,2014,25,2.82,1.00,91,1.00,Q4,0.80,A3,[23001011010P0-23001011020P6-23001011035P3],3,cluster1
49,2,[40668-56213],39176,2015,25,0.36,0.50,30,0.50,Q2,0.50,B1,[23001011029P3],1,cluster1
53,3,[40668-56213-78494],39330,2018,25,1.14,0.75,65,0.75,Q3,0.80,A3,[23001011029P3],1,cluster1
55,1,[225],42912,2000,25,2.02,1.00,67,0.75,Q3,0.80,A3,[23001011010P0],1,cluster1
60,1,[225],42918,2006,25,0.98,0.75,40,0.50,Q2,0.70,A4,[23001011010P0],1,cluster1
64,1,[225],42924,1995,25,1.48,0.75,53,0.75,Q3,0.70,A4,[23001011010P0],1,cluster1
65,1,[225],42925,2005,25,3.86,1.00,90,1.00,Q4,0.90,A2,[23001011010P0],1,cluster1
66,1,[225],42926,2008,25,4.44,1.00,80,1.00,Q4,0.80,A3,[23001011010P0],1,cluster1
72,1,[225],42933,1995,25,1.32,0.75,62,0.75,Q3,0.70,A4,[23001011010P0],1,cluster1
74,2,[225-52085],42936,2002,25,4.54,1.00,83,1.00,Q4,0.00,C/NI/NP,[23001011010P0],1,cluster1
75,1,[225],42938,2010,25,2.04,1.00,83,1.00,Q4,0.80,A3,[23001011010P0],1,cluster1
76,1,[225],42939,1996,25,1.48,0.75,53,0.75,Q3,0.70,A4,[23001011010P0],1,cluster1
79,1,[225],42942,2015,25,4.44,1.00,80,1.00,Q4,0.80,A3,[23001011010P0],1,cluster1
82,1,[225],42946,2012,25,4.54,1.00,83,1.00,Q4,0.00,C/NI/NP,[23001011010P0],1,cluster1
87,1,[225],42952,2008,25,3.86,1.00,90,1.00,Q4,0.90,A2,[23001011010P0],1,cluster1
89,1,[225],42955,1995,25,1.02,0.75,72,0.75,Q3,0.50,B1,[23001011010P0],1,cluster1
90,1,[225],42956,2004,25,0.98,0.75,40,0.50,Q2,0.70,A4,[23001011010P0],1,cluster1
92,1,[225],42959,2003,25,1.26,0.75,51,0.75,Q3,0.50,B1,[23001011010P0],1,cluster1
97,1,[225],42964,2017,25,1.48,0.75,53,0.75,Q3,0.70,A4,[23001011010P0],1,cluster1
107,1,[225],42976,2011,25,3.86,1.00,90,1.00,Q4,0.90,A2,[23001011010P0],1,cluster1
110,1,[225],42979,1993,25,1.32,0.75,62,0.75,Q3,0.70,A4,[23001011010P0],1,cluster1
117,1,[225],42987,1998,25,1.48,0.75,53,0.75,Q3,0.70,A4,[23001011010P0],1,cluster1
120,1,[225],42992,2018,25,4.46,1.00,94,1.00,Q4,0.90,A2,[23001011010P0],1,cluster1
178,1,[10354],47751,2019,25,4.06,1.00,91,1.00,Q4,1.00,A1,[23001011015P2-23001011035P3-23001011059P0],3,cluster1
200,1,[90244],53315,2009,25,1.29,0.75,65,0.75,Q3,0.70,A4,[23001011060P8],1,cluster1
201,1,[59492],54620,2014,25,1.19,0.75,79,1.00,Q4,0.90,A2,[23001011015P2-23001011023P5-23001011036P0],3,cluster1
202,1,[4755],54737,2015,25,3.72,1.00,94,1.00,Q4,1.00,A1,[23001011015P2],1,cluster1
203,1,[82003],54782,2016,25,1.72,0.75,70,0.75,Q3,0.50,B1,[23001011003P4],1,cluster1
218,2,[297-18569],55556,2014,25,1.97,0.75,77,1.00,Q4,0.80,A3,[23001011056P0-33283010001P5],2,cluster1
220,1,[297],55558,2004,25,1.71,0.75,61,0.75,Q3,0.70,A4,[23001011056P0-33283010001P5],2,cluster1
221,1,[297],55559,2006,25,1.71,0.75,61,0.75,Q3,0.70,A4,[23001011056P0-33283010001P5],2,cluster1
222,1,[297],55561,2002,25,3.49,1.00,99,1.00,Q4,1.00,A1,[23001011056P0-33283010001P5],2,cluster1
249,1,[297],55595,2006,25,1.71,0.75,61,0.75,Q3,0.70,A4,[23001011056P0-33283010001P5],2,cluster1
254,1,[297],55600,2013,25,1.42,0.75,50,0.75,Q3,0.35,B2,[23001011056P0-33283010001P5],2,cluster1
255,1,[297],55601,2002,25,3.49,1.00,99,1.00,Q4,1.00,A1,[23001011056P0-33283010001P5],2,cluster1
264,3,[297-74463-87499],55613,2017,25,1.97,0.75,77,1.00,Q4,0.80,A3,[23001011056P0-33283010001P5],2,cluster1
265,1,[297],55618,2002,25,3.49,1.00,99,1.00,Q4,1.00,A1,[23001011056P0-33283010001P5],2,cluster1
273,1,[297],55629,2007,25,1.71,0.75,61,0.75,Q3,0.70,A4,[23001011056P0-33283010001P5],2,cluster1
277,1,[38204],58487,2014,25,2.45,1.00,52,0.75,Q3,0.70,A4,[22003010017P5-23001011020P6],2,cluster1
278,1,[319],59036,2018,25,1.18,0.75,48,0.50,Q2,0.50,B1,[23001011012P3],1,cluster1
281,3,[319-37502-89647],59041,2011,25,3.32,1.00,76,0.75,Q3,0.90,A2,[22003010017P5-23001011012P3-23001011020P6-23001011035P3],4,cluster1
287,1,[319],59050,2013,25,2.85,1.00,77,1.00,Q4,0.90,A2,[23001011012P3],1,cluster1
288,1,[319],59052,2009,25,1.46,0.75,54,0.75,Q3,0.00,C/NI/NP,[23001011012P3],1,cluster1
292,1,[319],59056,2015,25,2.01,1.00,78,0.75,Q3,0.80,A3,[23001011012P3],1,cluster1
293,3,[319-22362-28331],59057,2017,25,2.03,1.00,75,0.75,Q3,0.00,C/NI/NP,[23001011012P3-23001011020P6-23001011031P8-23001011040P7-23001011047P1],5,cluster1
295,3,[319-53284-79324],59059,2017,25,3.26,1.00,82,1.00,Q4,0.90,A2,[23001011012P3-31001017169P2],2,cluster1
300,4,[319-16330-27606-61724],59066,2018,25,4.58,1.00,97,1.00,Q4,1.00,A1,[23001011011P7-23001011012P3-23001011041P3-23001011061P4],4,cluster1
303,1,[319],59069,2008,25,1.59,0.75,55,0.75,Q3,0.70,A4,[23001011012P3],1,cluster1
305,1,[319],59071,2009,25,1.46,0.75,54,0.75,Q3,0.00,C/NI/NP,[23001011012P3],1,cluster1
307,3,[319-27606-53284],59073,2019,25,2.10,1.00,61,0.75,Q3,0.70,A4,[23001011012P3-31001017169P2],2,cluster1
308,1,[319],59074,2011,25,2.85,1.00,77,1.00,Q4,0.90,A2,[23001011012P3],1,cluster1
309,1,[319],59075,2012,25,2.69,1.00,92,1.00,Q4,0.80,A3,[23001011012P3],1,cluster1
310,1,[319],59076,2009,25,1.46,0.75,54,0.75,Q3,0.00,C/NI/NP,[23001011012P3],1,cluster1
311,1,[319],59078,2006,25,2.03,1.00,75,0.75,Q3,0.00,C/NI/NP,[23001011012P3],1,cluster1
312,1,[319],59079,2012,25,2.52,1.00,88,1.00,Q4,0.00,C/NI/NP,[23001011012P3],1,cluster1
313,2,[319-37502],59080,2010,25,3.32,1.00,76,0.75,Q3,0.90,A2,[23001011012P3-23001011020P6],2,cluster1
315,1,[319],59083,2018,25,1.82,0.75,72,0.75,Q3,0.70,A4,[23001011012P3],1,cluster1
316,1,[319],59084,2012,25,2.01,1.00,78,0.75,Q3,0.80,A3,[23001011012P3],1,cluster1
317,1,[319],59085,2013,25,2.52,1.00,88,1.00,Q4,0.00,C/NI/NP,[23001011012P3],1,cluster1
324,3,[319-53284-79324],59094,2018,25,2.15,1.00,60,0.75,Q3,0.70,A4,[23001011012P3-31001017169P2],2,cluster1
325,1,[319],59096,2015,25,2.80,1.00,85,1.00,Q4,0.90,A2,[23001011012P3],1,cluster1
326,3,[319-53284-79324],59097,2018,25,1.70,0.75,57,0.75,Q3,0.70,A4,[23001011012P3-31001017169P2],2,cluster1
330,3,[319-37502-58383],59102,2016,25,6.12,1.00,97,1.00,Q4,1.00,A1,[23001011012P3-23001011020P6-23001011035P3-23001011059P0],4,cluster1
331,1,[319],59103,2008,25,2.85,1.00,77,1.00,Q4,0.90,A2,[23001011012P3],1,cluster1
332,4,[319-53284-53764-80604],59104,2016,25,1.46,0.75,54,0.75,Q3,0.00,C/NI/NP,[23001011012P3-23001011031P8-31001017169P2],3,cluster1
333,1,[319],59105,2010,25,2.85,1.00,77,1.00,Q4,0.90,A2,[23001011012P3],1,cluster1
335,1,[319],59107,2015,25,2.03,1.00,75,0.75,Q3,0.00,C/NI/NP,[23001011012P3],1,cluster1
336,1,[319],59108,2017,25,3.92,1.00,82,1.00,Q4,0.90,A2,[23001011012P3],1,cluster1
337,1,[319],59109,2013,25,2.05,1.00,79,1.00,Q4,0.35,B2,[23001011012P3],1,cluster1
339,1,[319],59111,2013,25,1.46,0.75,54,0.75,Q3,0.00,C/NI/NP,[23001011012P3],1,cluster1
340,1,[319],59112,2014,25,1.46,0.75,54,0.75,Q3,0.00,C/NI/NP,[23001011012P3],1,cluster1
348,4,[319-27606-53284-53764],59121,2016,25,1.62,0.75,57,0.75,Q3,0.80,A3,[23001011012P3-31001017169P2],2,cluster1
349,1,[319],59122,2008,25,2.52,1.00,88,1.00,Q4,0.00,C/NI/NP,[23001011012P3],1,cluster1
351,1,[319],59124,2016,25,1.46,0.75,54,0.75,Q3,0.00,C/NI/NP,[23001011012P3],1,cluster1
352,4,[319-48132-53743-64580],59125,2017,25,2.69,1.00,92,1.00,Q4,0.80,A3,[23001011012P3-23001011031P8-23001011035P3-23001011070P3-23001011073P2],5,cluster1
356,1,[69096],68208,2007,25,5.46,1.00,95,1.00,Q4,1.00,A1,[23001011063P7],1,cluster1
357,1,[40578],69184,2017,25,4.29,1.00,93,1.00,Q4,0.90,A2,[23001011020P6],1,cluster1
360,1,[22948],72052,2016,25,4.29,1.00,93,1.00,Q4,0.90,A2,[23001011170P8],1,cluster1
363,1,[46895],75170,2019,25,0.70,0.50,38,0.50,Q2,0.50,B1,[23001011059P0],1,cluster1
367,1,[400],76051,2009,25,2.73,1.00,70,0.75,Q3,0.80,A3,[23001011056P0],1,cluster1
373,1,[400],76062,2010,25,2.73,1.00,70,0.75,Q3,0.80,A3,[23001011056P0],1,cluster1
382,1,[400],76073,2010,25,3.75,1.00,83,1.00,Q4,1.00,A1,[23001011056P0],1,cluster1
384,3,[400-28122-87499],76076,2016,25,4.17,1.00,86,1.00,Q4,0.90,A2,[23001011056P0],1,cluster1
387,1,[400],76081,2015,25,3.14,1.00,84,1.00,Q4,1.00,A1,[23001011056P0],1,cluster1
413,1,[400],76112,2016,25,1.61,0.75,61,0.75,Q3,0.70,A4,[23001011056P0],1,cluster1
414,1,[400],76115,2007,25,2.01,1.00,66,0.75,Q3,0.80,A3,[23001011056P0],1,cluster1
421,1,[400],76125,2013,25,1.68,0.75,61,0.75,Q3,0.00,C/NI/NP,[23001011056P0],1,cluster1
439,1,[14457],76204,2005,25,1.10,0.75,51,0.75,Q3,0.50,B1,[23001011031P8],1,cluster1
440,1,[19135],79702,2014,25,3.60,1.00,77,0.75,Q3,0.90,A2,[22003010017P5-23001011020P6],2,cluster1
441,1,[80604],82489,2018,25,1.46,0.75,54,0.75,Q3,0.00,C/NI/NP,[23001011012P3-23001011031P8],2,cluster1
442,1,[73612],83541,2006,25,1.06,0.75,51,0.75,Q3,0.00,C/NI/NP,[23001011008P6-23001011174P3],2,cluster1
444,1,[73612],83569,2006,25,1.06,0.75,51,0.75,Q3,0.00,C/NI/NP,[23001011008P6-23001011174P3],2,cluster1
446,2,[44929-88917],84118,2011,25,11.14,1.00,98,1.00,Q4,0.00,C/NI/NP,[22003010017P5-23001011170P8],2,cluster1
447,1,[19770],84122,2011,25,3.58,1.00,92,1.00,Q4,1.00,A1,[23001011063P7-23001011172P0],2,cluster1
448,1,[44929],84136,2009,25,2.51,1.00,89,1.00,Q4,1.00,A1,[22003010017P5-23001011170P8],2,cluster1
449,1,[65311],84200,2006,25,3.14,1.00,67,0.75,Q3,0.90,A2,[23001011020P6-23001011170P8],2,cluster1
450,1,[19770],84208,2008,25,2.67,1.00,80,1.00,Q4,0.90,A2,[23001011063P7-23001011172P0],2,cluster1
451,1,[88917],84227,2004,25,10.07,1.00,98,1.00,Q4,1.00,A1,[23001011170P8],1,cluster1
452,1,[19770],84238,2010,25,3.35,1.00,72,0.75,Q3,0.80,A3,[23001011063P7-23001011172P0],2,cluster1
453,1,[19770],84239,2008,25,1.49,0.75,47,0.50,Q2,0.50,B1,[23001011063P7-23001011172P0],2,cluster1
454,1,[19770],84245,2012,25,2.11,1.00,82,1.00,Q4,0.90,A2,[23001011063P7-23001011172P0],2,cluster1
456,1,[46956],85365,2004,25,3.09,1.00,73,0.75,Q3,0.80,A3,[23001011003P4-23001011054P8],2,cluster1
457,1,[81077],85366,2006,25,3.24,1.00,83,1.00,Q4,1.00,A1,[23001011020P6],1,cluster1
458,2,[46956-81077],85377,2003,25,2.02,1.00,63,0.75,Q3,0.80,A3,[23001011003P4-23001011020P6-23001011054P8],3,cluster1
459,1,[46956],85386,2004,25,2.34,1.00,52,0.75,Q3,0.80,A3,[23001011003P4-23001011054P8],2,cluster1
462,1,[46956],85400,2007,25,3.46,1.00,70,0.75,Q3,0.90,A2,[23001011003P4-23001011054P8],2,cluster1
463,2,[46956-81077],85410,2008,25,1.19,0.75,79,1.00,Q4,0.90,A2,[23001011003P4-23001011020P6-23001011054P8],3,cluster1
464,1,[46956],85420,2009,25,2.30,1.00,57,0.75,Q3,0.70,A4,[23001011003P4-23001011054P8],2,cluster1
466,2,[46956-81077],85471,2006,25,4.33,1.00,96,1.00,Q4,1.00,A1,[23001011003P4-23001011020P6-23001011054P8],3,cluster1
467,1,[46956],85502,2011,25,4.40,1.00,93,1.00,Q4,1.00,A1,[23001011003P4-23001011054P8],2,cluster1
472,1,[46956],85525,2006,25,10.30,1.00,95,1.00,Q4,1.00,A1,[23001011003P4-23001011054P8],2,cluster1
473,2,[46956-81077],85542,2008,25,3.09,1.00,73,0.75,Q3,0.80,A3,[23001011003P4-23001011020P6-23001011054P8],3,cluster1
475,2,[46956-81077],85595,2006,25,3.24,1.00,83,1.00,Q4,1.00,A1,[23001011003P4-23001011020P6-23001011054P8],3,cluster1
476,2,[23372-35950],85676,2015,25,1.46,0.75,73,0.75,Q3,0.80,A3,[23001011059P0-23001011061P4],2,cluster1
481,2,[460-1068],88354,2007,25,1.02,0.75,41,0.50,Q2,0.80,A3,[23001011005P7-23001011033P0-23001011072P6-31010016027P9],4,cluster1
486,1,[460],88361,2015,25,0.96,0.75,42,0.50,Q2,0.80,A3,[23001011072P6-31010016027P9],2,cluster1
490,1,[460],88366,2005,25,1.90,0.75,79,1.00,Q4,0.90,A2,[23001011072P6-31010016027P9],2,cluster1
493,4,[460-31537-38664-89672],88371,2018,25,0.55,0.50,33,0.50,Q2,0.35,B2,[23001011033P0-23001011063P7-23001011072P6-23001011171P4-23001011172P0-31010016027P9],6,cluster1
498,2,[460-1068],88384,2017,25,0.76,0.50,36,0.50,Q2,0.35,B2,[23001011005P7-23001011033P0-23001011072P6-31010016027P9],4,cluster1
543,1,[11299],89242,2009,25,2.03,1.00,75,0.75,Q3,0.00,C/NI/NP,[23001011033P0],1,cluster1
544,1,[15285],89319,2018,25,2.16,1.00,36,0.50,Q2,0.70,A4,[23001011075P5],1,cluster1
545,1,[78105],94526,2017,25,2.27,1.00,92,1.00,Q4,0.90,A2,[23001011003P4-23001011054P8-23001011170P8],3,cluster1
546,1,[78105],94550,2016,25,2.27,1.00,92,1.00,Q4,0.90,A2,[23001011003P4-23001011054P8-23001011170P8],3,cluster1
547,1,[58383],95939,2015,25,1.70,0.75,67,0.75,Q3,0.80,A3,[23001011035P3-23001011059P0],2,cluster1
584,1,[55432],101131,2006,25,2.82,1.00,91,1.00,Q4,0.80,A3,[23001011010P0],1,cluster1
585,1,[55432],101144,2014,25,2.00,0.75,81,1.00,Q4,0.80,A3,[23001011010P0],1,cluster1
598,1,[21620],104990,2010,25,1.18,0.75,65,0.75,Q3,0.80,A3,[23001011024P1-23001011028P7-23001011055P4],3,cluster1
599,2,[15979-21620],105192,2008,25,1.18,0.75,65,0.75,Q3,0.80,A3,[23001011012P3-23001011024P1-23001011028P7-23001011041P3-23001011055P4],5,cluster1
609,1,[49979],115948,2014,25,2.62,1.00,83,1.00,Q4,0.90,A2,[23001011031P8-23001011063P7-23001011172P0],3,cluster1
614,1,[605],117046,2009,25,2.02,1.00,68,0.75,Q3,0.80,A3,[23001011058P3],1,cluster1
615,1,[605],117047,2010,25,3.14,1.00,95,1.00,Q4,1.00,A1,[23001011058P3],1,cluster1
616,1,[605],117048,2011,25,2.62,1.00,83,1.00,Q4,0.90,A2,[23001011058P3],1,cluster1
617,1,[605],117049,2008,25,2.62,1.00,83,1.00,Q4,0.90,A2,[23001011058P3],1,cluster1
625,1,[605],117061,2007,25,3.32,1.00,95,1.00,Q4,1.00,A1,[23001011058P3],1,cluster1
630,1,[605],117070,2008,25,2.21,1.00,72,0.75,Q3,0.80,A3,[23001011058P3],1,cluster1
633,1,[605],117074,2016,25,1.02,0.75,41,0.50,Q2,0.80,A3,[23001011058P3],1,cluster1
634,1,[605],117075,2012,25,2.15,1.00,81,1.00,Q4,1.00,A1,[23001011058P3],1,cluster1
637,1,[605],117078,2009,25,0.76,0.50,36,0.50,Q2,0.35,B2,[23001011058P3],1,cluster1
639,1,[605],117080,2013,25,1.02,0.75,41,0.50,Q2,0.80,A3,[23001011058P3],1,cluster1
641,2,[605-11643],117082,2018,25,2.80,1.00,71,0.75,Q3,0.90,A2,[23001011031P8-23001011043P6-23001011058P3-23001011072P6],4,cluster1
699,1,[88146],123312,2010,25,2.85,1.00,77,1.00,Q4,0.90,A2,[23001011035P3-23001011040P7-23001011073P2],3,cluster1
700,3,[23372-35950-54346],125227,2018,25,1.46,0.75,73,0.75,Q3,0.80,A3,[23001011015P2-23001011059P0-23001011061P4],3,cluster1
707,2,[29079-81471],131267,2012,25,6.26,1.00,93,1.00,Q4,1.00,A1,[22003010017P5-23001011020P6-23001011031P8-23001011070P3-23001011170P8],5,cluster1
709,1,[80202],135010,2013,25,3.46,1.00,70,0.75,Q3,0.90,A2,[23001011054P8],1,cluster1
722,1,[34676],139463,2017,25,1.98,0.75,73,0.75,Q3,0.80,A3,[23001011041P3],1,cluster1
751,1,[22960],143242,2003,25,6.87,1.00,91,1.00,Q4,1.00,A1,[23001011031P8-23001011047P1],2,cluster1
753,1,[22960],143493,2008,25,6.87,1.00,91,1.00,Q4,1.00,A1,[23001011031P8-23001011047P1],2,cluster1
754,4,[20354-30055-44135-84027],144153,2014,25,2.83,1.00,78,1.00,Q4,0.90,A2,[23001011010P0-23001011026P4-23001011176P6-33283010001P5],4,cluster1
755,3,[20354-30055-44135],144159,2015,25,2.99,1.00,84,1.00,Q4,0.90,A2,[23001011010P0-23001011026P4-23001011176P6-33283010001P5],4,cluster1
756,2,[20354-44135],144170,2015,25,2.83,1.00,78,1.00,Q4,0.90,A2,[23001011010P0-23001011026P4-23001011176P6],3,cluster1
757,2,[20354-44135],144171,2016,25,2.83,1.00,78,1.00,Q4,0.90,A2,[23001011010P0-23001011026P4-23001011176P6],3,cluster1
759,1,[26850],145595,2008,25,4.33,1.00,95,1.00,Q4,1.00,A1,[23001011073P2],1,cluster1
761,3,[10157-57272-90712],146157,2019,25,0.82,0.50,50,0.75,Q3,0.00,C/NI/NP,[23001011029P3],1,cluster1
768,7,[770-22362-29329-43315-50152-64042-64338],147986,2017,25,2.63,1.00,58,0.75,Q3,0.80,A3,[22003010017P5-23001011020P6-23001011031P8-23001011035P3-23001011040P7-23001011047P1-23001011059P0-23001011170P8-31001017169P2],9,cluster1
770,6,[770-22362-42611-50152-64042-64338],147989,2018,25,3.62,1.00,85,1.00,Q4,0.90,A2,[22003010017P5-23001011020P6-23001011031P8-23001011035P3-23001011040P7-23001011047P1-23001011170P8],7,cluster1
777,4,[770-22362-50152-64042],148002,2016,25,2.45,1.00,52,0.75,Q3,0.70,A4,[22003010017P5-23001011020P6-23001011031P8-23001011035P3-23001011040P7-23001011047P1],6,cluster1
779,2,[79660-81471],148519,2003,25,8.58,1.00,96,1.00,Q4,0.00,C/NI/NP,[22001018074P6-22003010017P5-23001011020P6-23001011031P8-23001011032P4-23001011077P8-23001011170P8],7,cluster1
780,1,[69782],148639,2014,25,3.02,1.00,89,1.00,Q4,1.00,A1,[23001011170P8],1,cluster1
791,1,[40578],158689,2014,25,2.66,1.00,68,0.75,Q3,0.00,C/NI/NP,[23001011020P6],1,cluster1
792,1,[40578],158704,2012,25,2.01,1.00,70,0.75,Q3,0.90,A2,[23001011020P6],1,cluster1
793,1,[40578],158728,2017,25,3.47,1.00,98,1.00,Q4,1.00,A1,[23001011020P6],1,cluster1
794,1,[40578],158731,2017,25,2.28,1.00,62,0.75,Q3,0.00,C/NI/NP,[23001011020P6],1,cluster1
795,1,[40578],158741,1991,25,1.16,0.75,52,0.75,Q3,0.50,B1,[23001011020P6],1,cluster1
957,1,[83911],162152,2017,25,4.08,1.00,90,1.00,Q4,1.00,A1,[23001011020P6],1,cluster1
958,1,[83911],162161,2012,25,3.64,1.00,85,1.00,Q4,0.90,A2,[23001011020P6],1,cluster1
959,1,[83911],162171,2017,25,7.89,1.00,94,1.00,Q4,1.00,A1,[23001011020P6],1,cluster1
960,1,[83911],162183,2007,25,3.29,1.00,70,0.75,Q3,0.80,A3,[23001011020P6],1,cluster1
961,2,[36249-64042],162190,2004,25,2.44,1.00,65,0.75,Q3,0.80,A3,[22003010017P5-23001011020P6-23001011031P8-23001011035P3],4,cluster1
962,1,[83911],162197,2014,25,3.02,1.00,89,1.00,Q4,1.00,A1,[23001011020P6],1,cluster1
963,1,[83911],162200,2011,25,3.14,1.00,67,0.75,Q3,0.80,A3,[23001011020P6],1,cluster1
964,1,[83911],162201,2013,25,4.11,1.00,85,1.00,Q4,1.00,A1,[23001011020P6],1,cluster1
965,1,[83911],162206,2016,25,3.64,1.00,85,1.00,Q4,0.90,A2,[23001011020P6],1,cluster1
966,1,[29719],163398,2010,25,1.81,0.75,77,0.75,Q3,0.80,A3,[23001011005P7-23001011033P0],2,cluster1
970,1,[862],164472,1996,25,5.04,1.00,98,1.00,Q4,0.00,C/NI/NP,[23001011005P7],1,cluster1
972,4,[862-25196-49917-74943],164474,2014,25,1.39,0.75,61,0.75,Q3,0.00,C/NI/NP,[23001011005P7-23001011033P0],2,cluster1
983,3,[862-33221-69343],164492,2015,25,1.52,0.75,68,0.75,Q3,0.80,A3,[23001011005P7],1,cluster1
988,1,[862],164498,2001,25,5.04,1.00,98,1.00,Q4,0.00,C/NI/NP,[23001011005P7],1,cluster1
995,1,[862],164506,2007,25,1.73,0.75,61,0.75,Q3,0.80,A3,[23001011005P7],1,cluster1
998,4,[862-49917-58801-74943],164509,2009,25,1.39,0.75,61,0.75,Q3,0.00,C/NI/NP,[23001011005P7],1,cluster1
1009,2,[862-74943],164525,2018,25,1.98,0.75,82,1.00,Q4,0.00,C/NI/NP,[23001011005P7],1,cluster1
1010,3,[862-26078-74943],164526,2018,25,1.62,0.75,72,0.75,Q3,0.90,A2,[23001011005P7-23001011063P7],2,cluster1
1016,1,[862],164537,1997,25,5.04,1.00,98,1.00,Q4,0.00,C/NI/NP,[23001011005P7],1,cluster1
1017,3,[862-49917-74943],164538,2014,25,1.38,0.75,57,0.75,Q3,0.80,A3,[23001011005P7],1,cluster1
1019,1,[862],164541,1999,25,5.04,1.00,98,1.00,Q4,0.00,C/NI/NP,[23001011005P7],1,cluster1
1022,5,[862-9379-49917-58801-74943],164544,2017,25,1.98,0.75,82,1.00,Q4,0.00,C/NI/NP,[23001011005P7-23001011070P3],2,cluster1
1029,4,[862-49917-56848-74943],164554,2018,25,1.65,0.75,70,0.75,Q3,0.80,A3,[23001011005P7],1,cluster1
1031,3,[862-58801-74943],164556,2012,25,2.74,1.00,94,1.00,Q4,0.90,A2,[23001011005P7],1,cluster1
1039,1,[862],164568,2002,25,1.55,0.75,69,0.75,Q3,0.00,C/NI/NP,[23001011005P7],1,cluster1
1040,3,[862-58801-74943],164569,2008,25,0.81,0.50,39,0.50,Q2,0.50,B1,[23001011005P7],1,cluster1
1044,4,[862-49917-74943-89496],164573,2017,25,1.98,0.75,82,1.00,Q4,0.00,C/NI/NP,[23001011005P7],1,cluster1
1050,2,[862-74943],164583,1998,25,5.04,1.00,98,1.00,Q4,0.00,C/NI/NP,[23001011005P7],1,cluster1
1051,3,[862-40740-69343],164584,2017,25,1.52,0.75,68,0.75,Q3,0.80,A3,[23001011005P7-23001011031P8-23001011033P0],3,cluster1
1053,2,[862-74943],164587,2013,25,1.38,0.75,57,0.75,Q3,0.80,A3,[23001011005P7],1,cluster1
1055,1,[862],164589,2006,25,0.31,0.50,41,0.50,Q2,0.50,B1,[23001011005P7],1,cluster1
1056,1,[862],164590,2008,25,1.90,0.75,79,1.00,Q4,0.90,A2,[23001011005P7],1,cluster1
1060,1,[862],164595,2000,25,5.04,1.00,98,1.00,Q4,0.00,C/NI/NP,[23001011005P7],1,cluster1
1062,2,[862-74943],164597,2011,25,2.11,1.00,82,1.00,Q4,0.90,A2,[23001011005P7],1,cluster1
1067,3,[862-56848-74943],164606,2018,25,2.25,1.00,83,1.00,Q4,0.90,A2,[23001011005P7],1,cluster1
1068,2,[862-74943],164607,2000,25,5.04,1.00,98,1.00,Q4,0.00,C/NI/NP,[23001011005P7],1,cluster1
1084,1,[862],164628,2002,25,5.04,1.00,98,1.00,Q4,0.00,C/NI/NP,[23001011005P7],1,cluster1
1088,2,[862-56848],164632,2016,25,2.11,1.00,82,1.00,Q4,0.90,A2,[23001011005P7],1,cluster1
1092,4,[862-55822-69343-74943],164636,2018,25,2.15,1.00,85,1.00,Q4,0.90,A2,[23001011005P7-23001011031P8-23001011033P0],3,cluster1
1094,3,[862-49917-89496],164638,2009,25,1.80,0.75,64,0.75,Q3,0.70,A4,[23001011005P7],1,cluster1
1096,1,[862],164640,2010,25,1.90,0.75,79,1.00,Q4,0.90,A2,[23001011005P7],1,cluster1
