#,autor_docente,autores,producao,ano,tipo_producao,citescore,quartil_citescore,percentile,quartil_percentile,q_p,qualis_estrato,qualis,programas,prog._qtd,Cluster
15502,1,[11349],1451010,2013,25,2.02,1.00,67,0.75,Q3,0.80,A3,[23001011010P0-23001011020P6-23001011035P3],3,cluster1
15504,1,[11349],1451012,2006,25,2.82,1.00,91,1.00,Q4,0.80,A3,[23001011010P0-23001011020P6-23001011035P3],3,cluster1
15509,1,[11349],1451017,2003,25,2.82,1.00,91,1.00,Q4,0.80,A3,[23001011010P0-23001011020P6-23001011035P3],3,cluster1
15511,2,[11349-79478],1451019,2018,25,4.29,1.00,93,1.00,Q4,0.90,A2,[23001011010P0-23001011020P6-23001011035P3-23001011170P8],4,cluster1
15512,1,[11349],1451020,2003,25,2.82,1.00,91,1.00,Q4,0.80,A3,[23001011010P0-23001011020P6-23001011035P3],3,cluster1
15513,2,[11349-79478],1451021,2011,25,2.02,1.00,67,0.75,Q3,0.80,A3,[23001011010P0-23001011020P6-23001011035P3-23001011170P8],4,cluster1
15516,2,[11349-79478],1451024,2014,25,24.94,1.00,99,1.00,Q4,1.00,A1,[23001011010P0-23001011020P6-23001011035P3-23001011170P8],4,cluster1
15520,1,[11349],1451028,2006,25,1.80,0.75,62,0.75,Q3,0.80,A3,[23001011010P0-23001011020P6-23001011035P3],3,cluster1
15521,1,[11349],1451029,2007,25,1.80,0.75,62,0.75,Q3,0.80,A3,[23001011010P0-23001011020P6-23001011035P3],3,cluster1
15522,1,[11349],1451030,2007,25,2.27,1.00,73,0.75,Q3,0.90,A2,[23001011010P0-23001011020P6-23001011035P3],3,cluster1
15523,3,[11349-42575-79478],1451031,2015,25,3.69,1.00,90,1.00,Q4,0.90,A2,[23001011010P0-23001011020P6-23001011035P3-23001011041P3-23001011170P8],5,cluster1
15524,1,[11349],1451032,2001,25,1.85,0.75,64,0.75,Q3,0.80,A3,[23001011010P0-23001011020P6-23001011035P3],3,cluster1
15526,1,[11349],1451034,1992,25,1.57,0.75,53,0.75,Q3,0.70,A4,[23001011010P0-23001011020P6-23001011035P3],3,cluster1
15528,1,[11349],1451036,1981,25,1.57,0.75,53,0.75,Q3,0.70,A4,[23001011010P0-23001011020P6-23001011035P3],3,cluster1
15529,1,[11349],1451037,1991,25,2.02,1.00,67,0.75,Q3,0.80,A3,[23001011010P0-23001011020P6-23001011035P3],3,cluster1
15530,1,[11349],1451038,1997,25,2.82,1.00,91,1.00,Q4,0.80,A3,[23001011010P0-23001011020P6-23001011035P3],3,cluster1
15531,1,[11349],1451039,2007,25,2.75,1.00,78,1.00,Q4,0.80,A3,[23001011010P0-23001011020P6-23001011035P3],3,cluster1
15532,1,[11349],1451040,2005,25,1.49,0.75,54,0.75,Q3,0.70,A4,[23001011010P0-23001011020P6-23001011035P3],3,cluster1
15534,2,[11349-21845],1451042,2006,25,1.51,0.75,51,0.50,Q2,0.50,B1,[23001011010P0-23001011020P6-23001011035P3],3,cluster1
15535,1,[11349],1451043,1996,25,2.82,1.00,91,1.00,Q4,0.80,A3,[23001011010P0-23001011020P6-23001011035P3],3,cluster1
15537,2,[11349-61596],1451045,2009,25,2.02,1.00,67,0.75,Q3,0.80,A3,[23001011010P0-23001011020P6-23001011035P3],3,cluster1
15538,1,[11349],1451046,2010,25,4.45,1.00,90,1.00,Q4,1.00,A1,[23001011010P0-23001011020P6-23001011035P3],3,cluster1
15543,1,[11349],1451051,1994,25,1.57,0.75,53,0.75,Q3,0.70,A4,[23001011010P0-23001011020P6-23001011035P3],3,cluster1
15545,2,[11349-61596],1451053,2001,25,2.82,1.00,91,1.00,Q4,0.80,A3,[23001011010P0-23001011020P6-23001011035P3],3,cluster1
15546,1,[11349],1451054,2007,25,2.75,1.00,78,1.00,Q4,0.80,A3,[23001011010P0-23001011020P6-23001011035P3],3,cluster1
15549,1,[11349],1451057,2009,25,2.75,1.00,78,1.00,Q4,0.80,A3,[23001011010P0-23001011020P6-23001011035P3],3,cluster1
15551,3,[11349-30055-73810],1451059,2007,25,1.51,0.75,51,0.50,Q2,0.50,B1,[23001011010P0-23001011020P6-23001011035P3-33283010001P5],4,cluster1
15552,1,[11349],1451060,1985,25,1.57,0.75,53,0.75,Q3,0.70,A4,[23001011010P0-23001011020P6-23001011035P3],3,cluster1
15553,1,[11349],1451061,2010,25,1.76,0.75,64,0.75,Q3,0.70,A4,[23001011010P0-23001011020P6-23001011035P3],3,cluster1
15554,2,[11349-79478],1451062,2013,25,1.80,0.75,62,0.75,Q3,0.80,A3,[23001011010P0-23001011020P6-23001011035P3-23001011170P8],4,cluster1
15557,2,[11349-61596],1451065,2006,25,1.57,0.75,53,0.75,Q3,0.70,A4,[23001011010P0-23001011020P6-23001011035P3],3,cluster1
15558,2,[11349-79478],1451066,2018,25,2.82,1.00,91,1.00,Q4,0.80,A3,[23001011010P0-23001011020P6-23001011035P3-23001011170P8],4,cluster1
15560,1,[11349],1451068,2003,25,24.94,1.00,99,1.00,Q4,1.00,A1,[23001011010P0-23001011020P6-23001011035P3],3,cluster1
15566,1,[11349],1451074,1976,25,1.49,0.75,54,0.75,Q3,0.70,A4,[23001011010P0-23001011020P6-23001011035P3],3,cluster1
15567,2,[11349-79478],1451075,2011,25,2.82,1.00,91,1.00,Q4,0.80,A3,[23001011010P0-23001011020P6-23001011035P3-23001011170P8],4,cluster1
15568,1,[11349],1451076,1983,25,0.98,0.75,40,0.50,Q2,0.70,A4,[23001011010P0-23001011020P6-23001011035P3],3,cluster1
15569,3,[11349-57513-79478],1451077,2014,25,1.80,0.75,62,0.75,Q3,0.80,A3,[23001011010P0-23001011020P6-23001011035P3-23001011170P8],4,cluster1
15573,1,[11349],1451081,2002,25,1.49,0.75,54,0.75,Q3,0.70,A4,[23001011010P0-23001011020P6-23001011035P3],3,cluster1
15574,1,[11349],1451082,1991,25,1.57,0.75,53,0.75,Q3,0.70,A4,[23001011010P0-23001011020P6-23001011035P3],3,cluster1
15576,1,[11349],1451084,1978,25,1.49,0.75,54,0.75,Q3,0.70,A4,[23001011010P0-23001011020P6-23001011035P3],3,cluster1
15577,1,[11349],1451085,1989,25,1.57,0.75,53,0.75,Q3,0.70,A4,[23001011010P0-23001011020P6-23001011035P3],3,cluster1
15578,1,[11349],1451086,2008,25,3.03,1.00,82,1.00,Q4,0.90,A2,[23001011010P0-23001011020P6-23001011035P3],3,cluster1
15579,1,[11349],1451087,1983,25,1.57,0.75,53,0.75,Q3,0.70,A4,[23001011010P0-23001011020P6-23001011035P3],3,cluster1
15580,1,[11349],1451088,2009,25,2.28,1.00,80,1.00,Q4,0.80,A3,[23001011010P0-23001011020P6-23001011035P3],3,cluster1
15581,1,[11349],1451089,2009,25,2.02,1.00,67,0.75,Q3,0.80,A3,[23001011010P0-23001011020P6-23001011035P3],3,cluster1
15583,1,[11349],1451091,2001,25,2.33,1.00,73,0.75,Q3,0.90,A2,[23001011010P0-23001011020P6-23001011035P3],3,cluster1
15584,2,[11349-79478],1451092,2018,25,1.86,0.75,56,0.75,Q3,0.20,B3,[23001011010P0-23001011020P6-23001011035P3-23001011170P8],4,cluster1
15585,2,[11349-79478],1451093,2016,25,2.02,1.00,67,0.75,Q3,0.80,A3,[23001011010P0-23001011020P6-23001011035P3-23001011170P8],4,cluster1
15588,1,[11349],1451096,2016,25,2.78,1.00,69,0.75,Q3,0.80,A3,[23001011010P0-23001011020P6-23001011035P3],3,cluster1
15591,3,[11349-79478-89873],1451099,2014,25,2.00,0.75,81,1.00,Q4,0.80,A3,[23001011010P0-23001011020P6-23001011035P3-23001011170P8],4,cluster1
15592,1,[11349],1451100,1989,25,1.49,0.75,54,0.75,Q3,0.70,A4,[23001011010P0-23001011020P6-23001011035P3],3,cluster1
15593,1,[11349],1451101,1998,25,2.77,1.00,77,1.00,Q4,0.00,C/NI/NP,[23001011010P0-23001011020P6-23001011035P3],3,cluster1
15595,1,[11349],1451103,1986,25,0.98,0.75,40,0.50,Q2,0.70,A4,[23001011010P0-23001011020P6-23001011035P3],3,cluster1
15596,1,[11349],1451104,2005,25,2.82,1.00,91,1.00,Q4,0.80,A3,[23001011010P0-23001011020P6-23001011035P3],3,cluster1
15597,2,[11349-54957],1451105,2006,25,2.82,1.00,91,1.00,Q4,0.80,A3,[23001011010P0-23001011020P6-23001011035P3],3,cluster1
15599,2,[11349-79478],1451107,2018,25,3.09,1.00,83,1.00,Q4,0.90,A2,[23001011010P0-23001011020P6-23001011035P3-23001011170P8],4,cluster1
15604,1,[11349],1451112,2007,25,2.33,1.00,73,0.75,Q3,0.90,A2,[23001011010P0-23001011020P6-23001011035P3],3,cluster1
15605,3,[11349-57513-79478],1451113,2017,25,3.09,1.00,83,1.00,Q4,0.90,A2,[23001011010P0-23001011020P6-23001011035P3-23001011170P8],4,cluster1
15606,1,[11349],1451114,1994,25,2.33,1.00,73,0.75,Q3,0.90,A2,[23001011010P0-23001011020P6-23001011035P3],3,cluster1
15609,1,[11349],1451117,2001,25,1.49,0.75,54,0.75,Q3,0.70,A4,[23001011010P0-23001011020P6-23001011035P3],3,cluster1
15611,1,[11349],1451119,2018,25,11.08,1.00,98,1.00,Q4,1.00,A1,[23001011010P0-23001011020P6-23001011035P3],3,cluster1
15615,1,[11349],1451123,1993,25,2.02,1.00,67,0.75,Q3,0.80,A3,[23001011010P0-23001011020P6-23001011035P3],3,cluster1
15619,2,[11349-30055],1451127,2007,25,2.02,1.00,67,0.75,Q3,0.80,A3,[23001011010P0-23001011020P6-23001011035P3-33283010001P5],4,cluster1
15620,1,[11349],1451128,1999,25,2.82,1.00,91,1.00,Q4,0.80,A3,[23001011010P0-23001011020P6-23001011035P3],3,cluster1
15621,2,[11349-79478],1451129,2015,25,2.60,1.00,75,1.00,Q4,0.80,A3,[23001011010P0-23001011020P6-23001011035P3-23001011170P8],4,cluster1
15624,1,[11349],1451132,2011,25,2.85,1.00,83,1.00,Q4,0.90,A2,[23001011010P0-23001011020P6-23001011035P3],3,cluster1
15625,1,[11349],1451133,1993,25,24.94,1.00,99,1.00,Q4,1.00,A1,[23001011010P0-23001011020P6-23001011035P3],3,cluster1
15628,1,[11349],1451136,1985,25,2.77,1.00,77,1.00,Q4,0.00,C/NI/NP,[23001011010P0-23001011020P6-23001011035P3],3,cluster1
15633,1,[11349],1451141,2011,25,3.58,1.00,90,1.00,Q4,1.00,A1,[23001011010P0-23001011020P6-23001011035P3],3,cluster1
15637,1,[11349],1451145,1996,25,2.33,1.00,73,0.75,Q3,0.90,A2,[23001011010P0-23001011020P6-23001011035P3],3,cluster1
15638,1,[11349],1451146,1986,25,2.83,1.00,78,1.00,Q4,0.90,A2,[23001011010P0-23001011020P6-23001011035P3],3,cluster1
15639,1,[11349],1451147,2001,25,2.82,1.00,91,1.00,Q4,0.80,A3,[23001011010P0-23001011020P6-23001011035P3],3,cluster1
15641,3,[11349-57513-79478],1451149,2015,25,3.58,1.00,90,1.00,Q4,1.00,A1,[23001011010P0-23001011020P6-23001011035P3-23001011170P8],4,cluster1
15643,1,[11349],1451151,1998,25,2.82,1.00,91,1.00,Q4,0.80,A3,[23001011010P0-23001011020P6-23001011035P3],3,cluster1
15644,2,[11349-79478],1451152,2017,25,3.70,1.00,87,1.00,Q4,0.90,A2,[23001011010P0-23001011020P6-23001011035P3-23001011170P8],4,cluster1
15645,1,[11349],1451153,2004,25,2.82,1.00,91,1.00,Q4,0.80,A3,[23001011010P0-23001011020P6-23001011035P3],3,cluster1
15646,1,[11349],1451154,1990,25,2.02,1.00,67,0.75,Q3,0.80,A3,[23001011010P0-23001011020P6-23001011035P3],3,cluster1
15648,1,[11349],1451156,1994,25,1.49,0.75,54,0.75,Q3,0.70,A4,[23001011010P0-23001011020P6-23001011035P3],3,cluster1
15649,2,[11349-55432],1451157,2008,25,2.82,1.00,91,1.00,Q4,0.80,A3,[23001011010P0-23001011020P6-23001011035P3],3,cluster1
15650,3,[11349-57513-79478],1451158,2014,25,1.91,0.75,64,0.75,Q3,0.70,A4,[23001011010P0-23001011020P6-23001011035P3-23001011170P8],4,cluster1
15651,1,[11349],1451159,2008,25,2.02,1.00,67,0.75,Q3,0.80,A3,[23001011010P0-23001011020P6-23001011035P3],3,cluster1
15652,2,[11349-79478],1451160,2018,25,2.60,1.00,75,1.00,Q4,0.80,A3,[23001011010P0-23001011020P6-23001011035P3-23001011170P8],4,cluster1
15654,3,[11349-57513-79478],1451162,2013,25,1.80,0.75,62,0.75,Q3,0.80,A3,[23001011010P0-23001011020P6-23001011035P3-23001011170P8],4,cluster1
15656,1,[11349],1451164,2001,25,2.82,1.00,91,1.00,Q4,0.80,A3,[23001011010P0-23001011020P6-23001011035P3],3,cluster1
15657,1,[11349],1451165,2018,25,2.23,1.00,87,1.00,Q4,0.00,C/NI/NP,[23001011010P0-23001011020P6-23001011035P3],3,cluster1
15659,2,[11349-61596],1451167,2008,25,2.02,1.00,67,0.75,Q3,0.80,A3,[23001011010P0-23001011020P6-23001011035P3],3,cluster1
15660,1,[11349],1451168,2008,25,2.77,1.00,77,1.00,Q4,0.00,C/NI/NP,[23001011010P0-23001011020P6-23001011035P3],3,cluster1
15663,1,[11349],1451171,1992,25,1.49,0.75,54,0.75,Q3,0.70,A4,[23001011010P0-23001011020P6-23001011035P3],3,cluster1
15669,4,[11349-57513-61596-79478],1451177,2016,25,3.16,1.00,81,1.00,Q4,0.90,A2,[23001011010P0-23001011020P6-23001011035P3-23001011170P8],4,cluster1
15670,1,[11349],1451178,1988,25,1.57,0.75,53,0.75,Q3,0.70,A4,[23001011010P0-23001011020P6-23001011035P3],3,cluster1
15671,4,[11349-21845-30055-40723],1451179,2006,25,2.02,1.00,67,0.75,Q3,0.80,A3,[23001011010P0-23001011020P6-23001011035P3-33283010001P5],4,cluster1
15673,4,[11349-57513-69564-79478],1451181,2015,25,3.16,1.00,81,1.00,Q4,0.90,A2,[23001011010P0-23001011020P6-23001011035P3-23001011170P8-23001011171P4-23001011173P7],6,cluster1
15675,1,[11349],1451183,1980,25,2.77,1.00,77,1.00,Q4,0.00,C/NI/NP,[23001011010P0-23001011020P6-23001011035P3],3,cluster1
15676,1,[11349],1451184,1989,25,1.76,0.75,64,0.75,Q3,0.70,A4,[23001011010P0-23001011020P6-23001011035P3],3,cluster1
15680,1,[11349],1451188,2009,25,3.75,1.00,87,1.00,Q4,1.00,A1,[23001011010P0-23001011020P6-23001011035P3],3,cluster1
15681,1,[11349],1451189,2011,25,2.28,1.00,80,1.00,Q4,0.80,A3,[23001011010P0-23001011020P6-23001011035P3],3,cluster1
15682,4,[11349-57513-58360-79478],1451190,2018,25,2.71,1.00,77,0.75,Q3,1.00,A1,[23001011010P0-23001011020P6-23001011035P3-23001011047P1-23001011073P2-23001011170P8],6,cluster1
15684,1,[11349],1451192,2007,25,2.77,1.00,77,1.00,Q4,0.00,C/NI/NP,[23001011010P0-23001011020P6-23001011035P3],3,cluster1
15686,1,[11349],1451194,1987,25,1.49,0.75,54,0.75,Q3,0.70,A4,[23001011010P0-23001011020P6-23001011035P3],3,cluster1
15687,2,[11349-79478],1451195,2012,25,2.33,1.00,73,0.75,Q3,0.90,A2,[23001011010P0-23001011020P6-23001011035P3-23001011170P8],4,cluster1
15688,1,[11349],1451196,2017,25,2.45,1.00,52,0.75,Q3,0.70,A4,[23001011010P0-23001011020P6-23001011035P3],3,cluster1
15689,1,[11349],1451197,1989,25,1.57,0.75,53,0.75,Q3,0.70,A4,[23001011010P0-23001011020P6-23001011035P3],3,cluster1
15690,2,[11349-61596],1451198,2006,25,1.85,0.75,64,0.75,Q3,0.80,A3,[23001011010P0-23001011020P6-23001011035P3],3,cluster1
15692,1,[11349],1451200,2000,25,2.82,1.00,91,1.00,Q4,0.80,A3,[23001011010P0-23001011020P6-23001011035P3],3,cluster1
15694,3,[11349-61596-79478],1451202,2012,25,2.02,1.00,67,0.75,Q3,0.80,A3,[23001011010P0-23001011020P6-23001011035P3-23001011170P8],4,cluster1
15696,2,[11349-73810],1451205,2006,25,1.51,0.75,51,0.50,Q2,0.50,B1,[23001011010P0-23001011020P6-23001011035P3-33283010001P5],4,cluster1
15698,1,[11349],1451207,2006,25,2.33,1.00,73,0.75,Q3,0.90,A2,[23001011010P0-23001011020P6-23001011035P3],3,cluster1
15702,1,[11349],1451211,2007,25,2.77,1.00,77,1.00,Q4,0.00,C/NI/NP,[23001011010P0-23001011020P6-23001011035P3],3,cluster1
15703,1,[11349],1451212,1992,25,1.49,0.75,54,0.75,Q3,0.70,A4,[23001011010P0-23001011020P6-23001011035P3],3,cluster1
15706,2,[11349-61596],1451215,2010,25,1.49,0.75,54,0.75,Q3,0.70,A4,[23001011010P0-23001011020P6-23001011035P3],3,cluster1
15707,3,[11349-61596-79478],1451216,2017,25,2.60,1.00,80,1.00,Q4,0.80,A3,[23001011010P0-23001011020P6-23001011035P3-23001011170P8],4,cluster1
15708,1,[11349],1451217,2011,25,2.27,1.00,73,0.75,Q3,0.90,A2,[23001011010P0-23001011020P6-23001011035P3],3,cluster1
15709,1,[11349],1451218,2001,25,1.76,0.75,64,0.75,Q3,0.70,A4,[23001011010P0-23001011020P6-23001011035P3],3,cluster1
15710,1,[11349],1451219,2010,25,2.27,1.00,73,0.75,Q3,0.90,A2,[23001011010P0-23001011020P6-23001011035P3],3,cluster1
15713,1,[11349],1451222,1996,25,1.57,0.75,53,0.75,Q3,0.70,A4,[23001011010P0-23001011020P6-23001011035P3],3,cluster1
15715,2,[11349-79478],1451224,2015,25,2.77,1.00,77,1.00,Q4,0.00,C/NI/NP,[23001011010P0-23001011020P6-23001011035P3-23001011170P8],4,cluster1
15716,3,[11349-79478-89873],1451225,2014,25,2.82,1.00,91,1.00,Q4,0.80,A3,[23001011010P0-23001011020P6-23001011035P3-23001011170P8],4,cluster1
15717,1,[11349],1451226,1980,25,2.77,1.00,77,1.00,Q4,0.00,C/NI/NP,[23001011010P0-23001011020P6-23001011035P3],3,cluster1
15721,2,[11349-61596],1451231,2007,25,1.85,0.75,64,0.75,Q3,0.80,A3,[23001011010P0-23001011020P6-23001011035P3],3,cluster1
